"cod_alumno"|"ciudad"|"sexo_f"|"puntaje_ingreso"|"promedio_notas"|"total_creditos_logrados"|"biologia"|"matematicas"|"filosofia"|"fisica"|"historia"|"quimica"|"lenguaje"|"geografia"|"idiomas"|"sociales"|"lecturacritica"|"ciencias"|"razonamiento"|"competenciaciud"|"valor_matricula"|"valor_servicios"|"ingresos"|"vive_familia"|"estrato"|"estrato_vivira"|"actualmente_trabaja"|"valor_matric_colegio"|"ano_pago_colegio"|"ingresos_familiares"|"ano_ingresos"|"numero_aportantes"|"numero_hermanos"|"numero_hermanos_est_superior"|"edad_inicio"|"edad_reporte"|"anio_reporte"|"clase"
216155125|TUQUERRES                |0|71.14|3.12|30.0|0.000|68.000|0.000|0.000|0.000|0.000|0.000|0.000|62.000|79.000|63.000|83.000|73.000|76.000|0|0|0|1|1|0|0|0|2015|3800000|2014.0|1.0|1.0|0.0|19.0|21.0|2018.0|
216160287|PASTO                    |0|69.33|3.165384615384615|42.0|0.000|86.000|0.000|0.000|0.000|0.000|0.000|0.000|50.000|62.000|58.000|74.000|73.000|66.000|0|0|0|0|1|1|0|0|2014|6000000|2014.0|1.0|0.0|0.0|19.0|22.0|2018.0|
217033097|PASTO                    |1|79.65|2.8850000000000002|30.0|0.000|86.000|0.000|0.000|0.000|0.000|0.000|0.000|71.000|74.000|80.000|75.000|0.000|0.000|0|0|0|1|2|2|0|0|2016|2300000|2016.0|1.0|1.0|0.0|18.0|20.0|2018.0|
217033258|PASTO                    |0|77.2|3.2399999999999998|23.0|0.000|80.000|0.000|0.000|0.000|0.000|0.000|0.000|90.000|64.000|64.000|84.000|0.000|0.000|0|0|0|1|1|1|0|0|2013|4200000|2016.0|2.0|4.0|0.0|22.0|23.0|2018.0|
217033537|PASTO                    |1|83.25|3.14375|23.0|0.000|91.000|0.000|0.000|0.000|0.000|0.000|0.000|87.000|64.000|80.000|78.000|0.000|0.000|0|0|0|1|2|2|0|0|2015|1300000|2016.0|2.0|4.0|0.0|19.0|20.0|2018.0|
217034032|PASTO                    |0|72.5|2.454999999999999|34.0|0.000|78.000|0.000|0.000|0.000|0.000|0.000|0.000|59.000|65.000|71.000|72.000|0.000|0.000|0|0|0|1|1|1|0|0|2016|6000000|2016.0|1.0|3.0|0.0|20.0|21.0|2018.0|
217034077|PASTO                    |0|73.2|2.988235294117647|29.0|0.000|77.000|0.000|0.000|0.000|0.000|0.000|0.000|77.000|65.000|69.000|71.000|0.000|0.000|0|0|0|1|1|1|0|700000|2016|30240000|2016.0|2.0|3.0|0.0|17.0|18.0|2018.0|
217034155|PASTO                    |0|50.63|1.6866666666666665|20.0|0.000|62.000|0.000|0.000|0.000|0.000|0.000|0.000|44.000|55.000|43.000|46.000|59.000|54.000|0|0|0|1|1|1|0|340000|2014|8273448|2016.0|1.0|1.0|0.0|19.0|21.0|2018.0|
217034191|PASTO                    |1|66.82|1.6777777777777778|11.0|0.000|73.000|0.000|0.000|0.000|0.000|0.000|0.000|50.000|62.000|65.000|68.000|73.000|58.000|0|0|0|1|2|2|0|80000|2005|34000000|2016.0|2.0|2.0|1.0|30.0|31.0|2018.0|
217034252|PASTO                    |1|77.81|3.60625|48.0|0.000|86.000|0.000|0.000|0.000|0.000|0.000|0.000|57.000|78.000|76.000|75.000|90.000|66.000|0|0|0|1|2|3|0|10|2014|44177000|2018.0|3.0|2.0|2.0|19.0|21.0|2018.0|
217034261|PASTO                    |0|68.25|2.8999999999999995|24.0|0.000|62.000|0.000|0.000|0.000|0.000|0.000|0.000|86.000|72.000|69.000|70.000|0.000|0.000|0|0|0|1|3|3|0|250000|2011|35000000|2016.0|2.0|1.0|0.0|21.0|23.0|2018.0|
217034283|PASTO                    |0|69.25|3.15|38.0|0.000|71.000|0.000|0.000|0.000|0.000|0.000|0.000|64.000|68.000|69.000|69.000|0.000|0.000|0|0|0|1|2|2|0|70000|2016|689454|2016.0|1.0|1.0|0.0|18.0|20.0|2018.0|
217034292|PASTO                    |1|66.5|2.778260869565217|36.0|0.000|74.000|0.000|0.000|0.000|0.000|0.000|0.000|61.000|67.000|57.000|66.000|0.000|0.000|0|0|0|1|1|2|0|10000|2015|4200000|2016.0|1.0|0.0|0.0|19.0|21.0|2018.0|
217034313|PASTO                    |1|69.95|1.0|5.0|0.000|77.000|0.000|0.000|0.000|0.000|0.000|0.000|67.000|58.000|59.000|74.000|0.000|0.000|0|0|0|1|2|2|0|0|2015|7200000|2016.0|1.0|3.0|0.0|17.0|19.0|2018.0|
217034446|PASTO                    |1|80.34|3.383333333333333|40.0|0.000|82.000|0.000|0.000|0.000|0.000|0.000|0.000|77.000|74.000|69.000|91.000|84.000|71.000|0|0|0|1|1|1|0|10|2015|7000000|2018.0|1.0|3.0|0.0|17.0|18.0|2018.0|
217036029|IPIALES                  |1|51.0|2.209090909090909|16.0|0.000|54.000|0.000|0.000|0.000|0.000|0.000|0.000|39.000|51.000|47.000|56.000|0.000|0.000|0|0|0|1|1|1|0|100000|2016|22000|2016.0|1.0|5.0|0.0|19.0|20.0|2018.0|
217036043|IPIALES                  |0|53.15|2.638095238095238|32.0|0.000|55.000|0.000|0.000|0.000|0.000|0.000|0.000|53.000|39.000|54.000|52.000|0.000|0.000|0|0|0|1|1|2|0|45000|2011|700000|2016.0|1.0|2.0|0.0|18.0|20.0|2018.0|
217036061|IPIALES                  |0|58.15|2.757894736842105|34.0|0.000|53.000|0.000|0.000|0.000|0.000|0.000|0.000|67.000|58.000|59.000|63.000|0.000|0.000|0|0|0|1|1|1|0|0|2016|700000|2016.0|1.0|1.0|0.0|19.0|21.0|2018.0|
